issueno,month,year,skater,trick,obstacle,detailer,staircount,spot,location,notes,special,soty
1,january,1981,,,art,,,,,,,
2,february,1981,chris stople,fs slash,transition,pool,,,,,,
3,march,1981,chris miller,fs air,transition,bowl,,,,,,
4,april,1981,allen losi,fakie footplant ollie,transition,bowl,,colton,,,,
5,may,1981,"steve caballero, duane peters","lien air, sweeper",transition,bowl,,whittier,,double cover,,
6,june,1981,mike smith,fs smith,transition,bowl,,colton,,,,
7,july,1981,mike pust,handplant,transition,halfpipe,,,canada,,,
8,august,1981,roger hickey & john hutson,downhill,downhill,,,,,,,
9,september,1981,steve caballero,lien air,transition,bowl,,kona,,,,
10,october,1981,tony hawk,lien to tail,transition,bowl,,del mar,,,,
11,november,1981,,,art,typography,,,,,,
12,december,1981,steve rocco,nose manny,flat,freestyle,,living room,,funny,,
13,january,1982,mike smith,bs air,transition,pool,,,,,,
14,february,1982,steve caballero,fakie ollie,transition,miniramp,,,,,,
15,march,1982,duane peters,slide drop in,transition,pool,,,,,,
16,april,1982,street scott,driveway flyoff,gap,driveway,,,,first street trick,,
17,may,1982,stacey peralta,nose manny,flat,freestyle,,,,"""May was the only mag we ever missed...we were too fucked up on drugs.""-Fausto Vitello""",,
18,june,1982,,,,,,,,no issue,,
19,july,1982,micke alba,bs air,transition,bowl,,upland,,,,
20,august,1982,jay adams,bertleman,flat,,,,,funny,,
21,september,1982,per wilinder,pogo,flat,freestyle,,,,,,
22,october,1982,rodney mullen,ollie,flat,freestyle,,,,first popped street trick,,
23,november,1982,john hutson,downhill,downhill,,,,,,,
24,december,1982,tom groholski,bs air,transition,halfpipe,,,,,,
25,january,1983,lance mountain,bs air,transition,bowl,,whittier,,,,
26,february,1983,bob denike,fs lip,transition,bank,,,,fs lapover what is that,,
27,march,1983,billy ruff,bs air,transition,bowl,,whittier,,,,
28,april,1983,micke alba,handplant,transition,halfpipe,,,,,,
29,may,1983,gary davis,fs boneless,gap,hip,,,,,,
30,june,1983,andy kessler,one foot nose manny,flat,freestyle,,,"New York City, NY","aka ""the fandangler""",,
31,july,1983,jay alabamy,fs ollie,transition,pool,,,,,,
32,august,1983,steve caballero,fs channel plant,transition,halfpipe,,,,,,
33,september,1983,"mike mcgill, craig johnson, john gibson, jay cabler","bs air, fs air, fs layback",transition,halfpipe,,,,,,
34,october,1983,"puker, pat clarke","fs grind, bs air",transition,halfpipe,,,,,,
35,november,1983,rob roskopp,sweeper,transition,halfpipe,,,,,,
36,december,1983,big steve,fs grind,transition,pool,,,,,,
37,january,1984,rodney mullen,one foot pogo,flat,freestyle,,kentor canyon school,,,,
38,february,1984,monty nolder,gay twist,transition,halfpipe,,,,,,
39,march,1984,mondo,fs grind,transition,halfpipe,,,,,,
40,april,1984,bryce kanights,fs air,gap,bank,,,berkeley,,,
41,may,1984,chuck treece,layback tailslide,transition,halfpipe,,,,,,
42,june,1984,mark rogowski,fs grind,transition,pool,,,,,,
43,july,1984,tommy guerrero,fastplant,gap,hip,,fort miley,"San Francisco, CA",,,
44,august,1984,christian hosoi,bs air,transition,bowl,,upland,,,,
45,september,1984,natas kaupus,fs wallride,wall,,,,,,,
46,october,1984,neil blender,eggplant,transition,bowl,,del mar,,,,
47,november,1984,mark gonzales,beanplant,gap,bank,,,,,,
48,december,1984,,,art,,,,,,,
49,january,1985,jeff phillips,fs boneless,transition,halfpipe,,,,,,
50,february,1985,neil blender,,art,,,,,,,
51,march,1985,billy ruff & neil blender,,ollie,,,,,,,
52,april,1985,christian hosoi,andrecht,transition,halfpipe,,,,,,
53,may,1985,john gibson,fs thrust,transition,fullpipe,,,,,,
54,june,1985,steve caballero,fs invert,transition,pool,,,,,,
55,july,1985,chris miller,fs air,transition,pool,,,,,,
56,august,1985,lester kasai,bs air,transition,halfpipe,,,,,,
57,september,1985,lance mountain,,art,,,,,,,
58,october,1985,bruno peeters,fakie ollie,transition,halfpipe,,,,,,
59,november,1985,christian hosoi,melon,gap,car,,,,,,
60,december,1985,dave hackett,hang ten,flat,,,,,,,
61,january,1986,claus grabke,invert,transition,halfpipe,,,,,,
62,february,1986,allen losi,invert,transition,halfpipe,,,,,,
63,march,1986,natas kaupus,bertleman,gap,car,,,,,,
64,april,1986,tommy guerrero,lien air,transition,street transition,,Wallows,Hawaii,,,
65,may,1986,lester kasai,fs ollie,transition,halfpipe,,,,,,
66,june,1986,glenn danzig,,portrait,music,,,,,,
67,july,1986,jesse martinez,judo air,transition,spine,,,,,,
68,august,1986,mike valley,sad plant,flat,freestyle,,,,,,
69,september,1986,mark gonzales,bean plant,flat,,,,,,,
70,october,1986,tony hawk,fs grind,transition,pool,,,,,,
71,november,1986,,,,,,,,no issue,,
72,december,1986,chris miller,fs air,transition,hip,,,,,,
73,january,1987,jim thiebaud,fs grind,wall,,,,oakland,jim!,,
74,february,1987,gang green,,portrait,music,,,,,,
75,march,1987,jeff phillips,fs ollie,transition,halfpipe,,,,,,
76,april,1987,brian brannon,bs kickturn,transition,,,jaws spot,AZ,,,
77,may,1987,mike muir,,portrait,music,,,,,,
78,june,1987,steve alba,carve,transition,ditch,,,,looks cool,,
79,july,1987,mark rogowski,slashback,transition,pool,,,,,,
80,august,1987,tony hawk,fs ollie,transition,halfpipe,,,,,,
81,september,1987,,,art,pushead,,,,,,
82,october,1987,christian hosoi,method air,transition,halfpipe,,,Hawaii,,,
83,november,1987,steve caballero,fs boardslide,ledge,bench,,,,first ledge trick,,
84,december,1987,eddie reategui,,flat,,,,Savannah,,,
85,january,1988,eric dressen,bs tail tap,transition,pool,,,,,,
86,february,1988,tony vitello,,portrait,,,,"San Francisco, CA",,,
87,march,1988,scott oster,g-turn,flat,freestyle,,,,,,
88,april,1988,steve alba,fs tail tap,transition,pool,,,,,,
89,may,1988,rob roskopp,bertleman,snowy mountain,,,,,snowboarding,,
90,june,1988,christian hosoi,fakie ollie,transition,halfpipe,,,,,,
91,july,1988,"danny sargent, luke ogden, john dettman ",,hill bomb,hill,,,,,,
92,august,1988,,,art,robt. williams,,,,,,
93,september,1988,sam esmoer,fs grind fs grab,transition,pool,,,,,,
94,october,1988,david hackett,fs grind,transition,pool,,,,,,
95,november,1988,bod boyle,bs lipslide,transition,halfpipe,,,,,,
96,december,1988,lance mountain,sad plant,transition,halfpipe,,,,,,
97,winter,1988,tony alva,hill bomb,hill,ditch,,,,first 13th issue,,
98,january,1989,jay adams,fs grind,transition,pool,,,,,,
99,february,1989,vladimir morozoz,tic-tac,flat,freestyle,,,russia,for being russian,,
100,march,1989,robby olhisher,wallride,wall,,,,,,,
101,april,1989,brian bannon,fakie thrust,transition,fullpipe,,,,,,
102,may,1989,Chris Miller,,portrait,,,,,,,
103,june,1989,,,art,longboard,,,,,,
104,july,1989,ron allen,fs boardslide,rail,,,oak tech,Oakland,first rail,,
105,august,1989,cara beth burnside,fs indie,transition,halfpipe,,,,first woman,,
106,september,1989,danny sargent,nosepick,drop in,,,,,,,
107,october,1989,jeremy henders,bs wallride,wall,,,brooklyn banks,"New York City, NY",,,
108,november,1989,scott oster,bertleman,flat,,,,,,,
109,december,1989,jeff kendell,fs smith,transition,halfpipe,,,,,,
110,january,1990,steve caballero,indie to fakie,transition,halfpipe,,,,,,
111,february,1990,george nagai,indie grab,flat,,,,,,,
112,march,1990,mark hollander,bs carve,transition,pool,,,,,,
113,april,1990,karma tsocheff,ollie,flat,,,,,,,
114,may,1990,frankie hill,bs boardslide,rail,handrail,,,,first handrail,,
115,june,1990,butch sterbins,bs boardslide,rail,,,,,,,
116,july,1990,tim galvin,bs carve,transition,fullpipe,,,,,,
117,august,1990,bob pereyra,luge,flat,,,,,lol,,
118,september,1990,aaron deeter,fs air,transition,halfpipe,,,,,,
119,october,1990,brennand schoeffel,ollie,gap,,,,,,,
120,november,1990,henry sanchez,bs nosegrind,ledge,,,Embarcadero,"San Francisco, CA",,,
